density_scenario,information_stock,information_scale,information_multiplier,worlds,mean_prior_cutoff_gap,budget_multiple,budget,cutoff_mean,cutoff_se,combined_mean,combined_se,combined_improvement_vs_cutoff_mean,combined_improvement_vs_cutoff_se,combined_win_rate_vs_cutoff,combined_pct_improvement_vs_cutoff,best_policy_by_mean
separated,balanced,low_info,0.65,100,0.4001004753720902,1,60,0.3455554680068609,0.03676037795473255,0.34599742488575397,0.03821023620048343,-0.00044195687889294624,0.03617489326738224,0.33,-0.12789752147234762,cutoff_only
separated,balanced,low_info,0.65,100,0.4001004753720902,3,180,0.22054652091850205,0.02788683730493996,0.2596088661314057,0.031890772975268586,-0.03906234521290363,0.0336656688754714,0.34,-17.711612520670062,cutoff_only
separated,balanced,low_info,0.65,100,0.4001004753720902,10,600,0.1335670237234437,0.02209311321589307,0.14680752390554808,0.021421716034102388,-0.013240500182104417,0.025505125127761947,0.28,-9.913000838829385,cutoff_only
separated,balanced,low_info,0.65,100,0.4001004753720902,30,1800,0.04531462724742757,0.010764021657663412,0.06488960666993056,0.01159828063107382,-0.019574979422503004,0.013849500335416135,0.3,-43.19792661124503,cutoff_only
separated,balanced,baseline_info,1.0,100,0.39642926028565845,1,60,0.24937704337155098,0.02972933931500696,0.23221754436932426,0.030883633130002357,0.017159499002226745,0.030174997212396353,0.34,6.880945723885468,cutoff_x_uncertainty
separated,balanced,baseline_info,1.0,100,0.39642926028565845,3,180,0.1559839912123339,0.02315020522540092,0.16664277053386914,0.023477534194492267,-0.010658779321535205,0.026829667420788395,0.31,-6.833252078430212,cutoff_only
separated,balanced,baseline_info,1.0,100,0.39642926028565845,10,600,0.057982103315759446,0.011387900914233414,0.10359602855944416,0.015171582781560689,-0.04561392524368474,0.01664749104178225,0.19,-78.66897307136311,cutoff_only
separated,balanced,baseline_info,1.0,100,0.39642926028565845,30,1800,0.031017174520249702,0.006921781438792076,0.053413493810321545,0.009759380734500405,-0.022396319290071843,0.011432159584439158,0.2,-72.20618781846265,cutoff_only
separated,balanced,high_info,1.5,100,0.3975156782965216,1,60,0.1521705544584645,0.021439223248722293,0.1442283584356726,0.01841352291883549,0.007942196022791963,0.024259990435936324,0.31,5.219272579413394,cutoff_x_uncertainty
separated,balanced,high_info,1.5,100,0.3975156782965216,3,180,0.07863543544144194,0.014677327090612303,0.09437323974374104,0.014265587434654382,-0.015737804302299107,0.017773253948681567,0.28,-20.013628987937253,cutoff_only
separated,balanced,high_info,1.5,100,0.3975156782965216,10,600,0.027345564161786476,0.0072433296994284056,0.04475396513630407,0.008085781618315784,-0.017408400974517603,0.008967159397525239,0.22,-63.660785608675184,cutoff_only
separated,balanced,high_info,1.5,100,0.3975156782965216,30,1800,0.010915655758614742,0.0033229568083091203,0.02096586041869035,0.004794839232943907,-0.010050204660075605,0.005288296522298392,0.19,-92.07146947762516,cutoff_only
separated,heterogeneous,low_info,0.65,100,0.4029330440090719,1,60,0.2388580319041712,0.037169632089889285,0.30943076422710347,0.03421291145874441,-0.07057273232293236,0.04132566856816218,0.23,-29.545890402063527,cutoff_only
separated,heterogeneous,low_info,0.65,100,0.4029330440090719,3,180,0.15788550458278372,0.030956984884905482,0.1660392737427547,0.022743573983263064,-0.008153769159970979,0.03311302524581584,0.24,-5.1643557662354835,cutoff_only
separated,heterogeneous,low_info,0.65,100,0.4029330440090719,10,600,0.0820566164702344,0.015411182011974944,0.11447443634341414,0.017498716527855812,-0.03241781987317979,0.018608228740161346,0.24,-39.506649515507604,cutoff_only
separated,heterogeneous,low_info,0.65,100,0.4029330440090719,30,1800,0.022677772605040065,0.005873547564204727,0.06050847234301156,0.010867154890967286,-0.03783069973797149,0.01091625633653151,0.21,-166.81841024177012,cutoff_only
separated,heterogeneous,baseline_info,1.0,100,0.3961389708081991,1,60,0.27658271541308976,0.03370991822370811,0.1961923550229187,0.030298972655450562,0.08039036039017101,0.03336777409990225,0.44,29.065576375625678,cutoff_x_uncertainty
separated,heterogeneous,baseline_info,1.0,100,0.3961389708081991,3,180,0.13584292546956553,0.02221040095882009,0.13065027152969497,0.02031669409738968,0.0051926539398705176,0.026298935802342667,0.33,3.8225427801419722,cutoff_x_uncertainty
separated,heterogeneous,baseline_info,1.0,100,0.3961389708081991,10,600,0.0491022041555336,0.010659867280970198,0.07510744346059955,0.012315582225493933,-0.02600523930506595,0.012780268583602136,0.3,-52.96145000475559,cutoff_only
