scenario,workflow,format_rule,allocation_policy,worlds,modal_selected_format,modal_selected_format_share,mean_budget,mean_gap,gap_se,mean_regret_vs_oracle_same_allocation,regret_vs_oracle_same_allocation_se,format_hit_rate_vs_oracle_same_allocation,mean_improvement_vs_eis_uniform,improvement_vs_eis_uniform_se,win_rate_vs_eis_uniform,mean_improvement_vs_most_answers_cutoff,improvement_vs_most_answers_cutoff_se,win_rate_vs_most_answers_cutoff
High burden sensitivity,EIS + cutoff x uncertainty,EIS,cutoff_x_uncertainty,100,"5-point, Q=3",1.0,52.0,0.45288874999002415,0.04364886903287677,0.22628953598133164,0.03391943271177457,0.26,0.33832890217639794,0.054008348008582965,0.67,0.15213558271650707,0.05093120629458296,0.61
High burden sensitivity,EIS + cutoff-only,EIS,cutoff_only,100,"5-point, Q=3",1.0,52.0,0.45277497450741805,0.042624468071640345,0.1682736379143266,0.026736581812347088,0.3,0.338442677659004,0.0442377699476762,0.72,0.15224935819911312,0.03942629451865521,0.65
High burden sensitivity,EIS + uniform,EIS,uniform,100,"5-point, Q=3",1.0,52.0,0.7912176521664221,0.050528657269501606,0.26007061533472253,0.03137605229649689,0.19,0.0,0.0,0.0,-0.1861933194598909,0.04784464951736299,0.31
High burden sensitivity,Highest completion + cutoff-only,highest_completion,cutoff_only,100,"Binary, Q=3",1.0,72.0,0.5720870478437945,0.04721729012198187,0.287585711250703,0.034248280193940876,0.26,0.21913060432262757,0.05278987721596625,0.63,0.032937284862736685,0.04563210815635979,0.49
High burden sensitivity,Most answers + cutoff-only,most_answers,cutoff_only,100,"Binary, Q=5",1.0,75.0,0.6050243327065313,0.04609069237707473,0.3205229961134397,0.033415244007573584,0.16,0.1861933194598909,0.04784464951736299,0.59,0.0,0.0,0.0
High burden sensitivity,Oracle format + cutoff x uncertainty,oracle_format,cutoff_x_uncertainty,100,"Binary, Q=5",0.29,60.49,0.2265992140086925,0.02757662743366789,0.0,0.0,1.0,0.5646184381577295,0.04545416954579256,0.91,0.3784251186978386,0.03756104607194037,0.87
High burden sensitivity,Oracle format + cutoff-only,oracle_format,cutoff_only,100,"5-point, Q=3",0.3,59.06,0.2845013365930915,0.03228887139775808,0.0,0.0,1.0,0.5067163155733305,0.04348181119532143,0.89,0.3205229961134397,0.033415244007573584,0.8
High burden sensitivity,Richest/longest + cutoff-only,richest_longest,cutoff_only,100,"5-point, Q=7",1.0,36.0,0.6063955002559662,0.050145279710756094,0.32189416366287465,0.035358322858863686,0.09,0.1848221519104559,0.0486451180831886,0.59,-0.0013711675494349684,0.04466722211726935,0.44
Low burden sensitivity,EIS + cutoff x uncertainty,EIS,cutoff_x_uncertainty,100,"5-point, Q=7",1.0,145.0,0.31822895146130026,0.0333254308389012,0.15599401437671392,0.021028221462543243,0.13,0.40208528700346635,0.05126594786433929,0.71,0.06191178808853222,0.036615507734278,0.46
Low burden sensitivity,EIS + cutoff-only,EIS,cutoff_only,100,"5-point, Q=7",1.0,145.0,0.38014073954983246,0.043152765938978856,0.18523708184721577,0.026703120386814227,0.1,0.34017349891493415,0.05134560499443459,0.67,0.0,0.0,0.0
Low burden sensitivity,EIS + uniform,EIS,uniform,100,"5-point, Q=7",1.0,145.0,0.7203142384647664,0.05831971412773641,0.29315447466911776,0.03619100398970609,0.16,0.0,0.0,0.0,-0.34017349891493415,0.05134560499443459,0.23
Low burden sensitivity,Highest completion + cutoff-only,highest_completion,cutoff_only,100,"Binary, Q=3",1.0,81.0,0.5817187461334352,0.04996186304832091,0.3868150884308186,0.04351676206533853,0.23,0.13859549233133128,0.05415852110365168,0.51,-0.20157800658360284,0.04692768048274655,0.25
Low burden sensitivity,Most answers + cutoff-only,most_answers,cutoff_only,100,"5-point, Q=7",1.0,145.0,0.38014073954983246,0.043152765938978856,0.18523708184721577,0.026703120386814227,0.1,0.34017349891493415,0.05134560499443459,0.67,0.0,0.0,0.0
Low burden sensitivity,Oracle format + cutoff x uncertainty,oracle_format,cutoff_x_uncertainty,100,"Binary, Q=3",0.27,106.37,0.16223493708458633,0.023989228179677684,0.0,0.0,1.0,0.5580793013801802,0.052150961780965344,0.87,0.21790580246524616,0.030185265664202064,0.63
Low burden sensitivity,Oracle format + cutoff-only,oracle_format,cutoff_only,100,"5-point, Q=5",0.25,105.99,0.19490365770261672,0.026031269412929065,0.0,0.0,1.0,0.52541058076215,0.05264611066722946,0.84,0.18523708184721577,0.026703120386814227,0.64
Low burden sensitivity,Richest/longest + cutoff-only,richest_longest,cutoff_only,100,"5-point, Q=7",1.0,145.0,0.38014073954983246,0.043152765938978856,0.18523708184721577,0.026703120386814227,0.1,0.34017349891493415,0.05134560499443459,0.67,0.0,0.0,0.0
Moderate burden sensitivity,EIS + cutoff x uncertainty,EIS,cutoff_x_uncertainty,100,"5-point, Q=5",1.0,78.0,0.42329500722497543,0.03809247697280703,0.1987166380315921,0.0284634258359041,0.26,0.4987491546679014,0.05296273244536711,0.81,0.16521391076544079,0.04700423252417242,0.55
Moderate burden sensitivity,EIS + cutoff-only,EIS,cutoff_only,100,"5-point, Q=5",1.0,78.0,0.46441405119147866,0.04869762325307423,0.19334570331758183,0.03144243322140208,0.24,0.4576301107013982,0.05552727092385144,0.77,0.12409486679893753,0.039921777626626326,0.55
Moderate burden sensitivity,EIS + uniform,EIS,uniform,100,"5-point, Q=5",1.0,78.0,0.9220441618928767,0.06337836681979617,0.3309886147821352,0.037736322248971596,0.13,0.0,0.0,0.0,-0.33353524390246064,0.05458027027024074,0.23
Moderate burden sensitivity,Highest completion + cutoff-only,highest_completion,cutoff_only,100,"Binary, Q=3",1.0,74.0,0.5971658002661592,0.04698117853976806,0.3260974523922624,0.032454050931393905,0.25,0.3248783616267176,0.053930858026814264,0.68,-0.008656882275743082,0.04484634488811945,0.45
Moderate burden sensitivity,Most answers + cutoff-only,most_answers,cutoff_only,100,"Binary, Q=5",1.0,102.0,0.5885089179904162,0.047095955034211226,0.3174405701165194,0.033221930736835235,0.22,0.33353524390246064,0.05458027027024074,0.69,0.0,0.0,0.0
Moderate burden sensitivity,Oracle format + cutoff x uncertainty,oracle_format,cutoff_x_uncertainty,100,"5-point, Q=5",0.26,80.06,0.22457836919338334,0.02419183715598334,0.0,0.0,1.0,0.6974657926994935,0.05352090180553139,0.94,0.36393054879703285,0.038204994966368686,0.77
Moderate burden sensitivity,Oracle format + cutoff-only,oracle_format,cutoff_only,100,"Binary, Q=3",0.25,80.08,0.27106834787389683,0.031178234675182787,0.0,0.0,1.0,0.65097581401898,0.05212108376651854,0.9,0.3174405701165194,0.033221930736835235,0.74
Moderate burden sensitivity,Richest/longest + cutoff-only,richest_longest,cutoff_only,100,"5-point, Q=7",1.0,76.0,0.5152407399461104,0.04945889286660955,0.24417239207221367,0.031978814519878336,0.11,0.4068034219467663,0.05196143592239908,0.74,0.07326817804430572,0.043320573832070074,0.55
