effort5,format,burden_units,alpha_calibrated,beta_empirical,eis,alpha_inproduct,eis_inproduct
1.0,"Binary, Q=3",3.0,0.29,1.0,0.87,0.29,0.87
1.0,"Binary, Q=5",5.0,0.194,1.0,0.971,0.194,0.971
1.0,"5-point, Q=3",3.0,0.29,1.494,1.3,0.097,0.433
1.0,"5-point, Q=5",5.0,0.194,1.494,1.451,0.065,0.484
1.0,"5-point, Q=7",7.0,0.13,1.494,1.36,0.043,0.453
1.25,"Binary, Q=3",3.0,0.29,1.0,0.87,0.29,0.87
1.25,"Binary, Q=5",5.0,0.219,1.0,1.097,0.219,1.097
1.25,"5-point, Q=3",3.75,0.261,1.494,1.171,0.097,0.433
1.25,"5-point, Q=5",6.25,0.184,1.494,1.377,0.073,0.546
1.25,"5-point, Q=7",8.75,0.13,1.494,1.36,0.055,0.579
1.5,"Binary, Q=3",3.0,0.29,1.0,0.87,0.29,0.87
1.5,"Binary, Q=5",5.0,0.234,1.0,1.171,0.234,1.171
1.5,"5-point, Q=3",4.5,0.247,1.494,1.107,0.097,0.433
1.5,"5-point, Q=5",7.5,0.179,1.494,1.339,0.078,0.583
1.5,"5-point, Q=7",10.5,0.13,1.494,1.36,0.063,0.659
# rating_shares=[0.0611, 0.1137, 0.2715, 0.3417, 0.212]
# cutpoints_5point=[-1.5456, -0.9354, -0.1351, 0.7995]
# binary_cutpoint(3|4)=-0.1351
# kappa_bar_5=0.8740 kappa_bar_2=0.5849
# beta_5point_empirical=1.4943
# item_kappa_ratio_p10_median_p90=1.427,1.466,1.642
# catalog_items_used=200
# alpha anchors: binary Q=3 -> 0.29 (online-survey benchmark); 5-point Q=7 -> 0.13 (in-app benchmark); log-linear in burden; 5-point per-question effort e5 is a sensitivity parameter.
