config,ratings_used,top_l,k,history_share,feedback_share_of_post_history,reps,catalog_history_ratings,catalog_feedback_ratings,catalog_evaluation_ratings,min_feedback_ratings_per_item,min_evaluation_ratings_per_item,uniform_mean,uniform_sd,uncertainty_only_mean,uncertainty_only_sd,cutoff_only_mean,cutoff_only_sd,cutoff_x_uncertainty_mean,cutoff_x_uncertainty_sd,cutoff_only_vs_uniform_paired_improvement_mean,cutoff_only_vs_uniform_paired_improvement_se,cutoff_only_vs_uniform_win_rate,cutoff_x_uncertainty_vs_uniform_paired_improvement_mean,cutoff_x_uncertainty_vs_uniform_paired_improvement_se,cutoff_x_uncertainty_vs_uniform_win_rate,cutoff_x_uncertainty_vs_cutoff_only_paired_improvement_mean,cutoff_x_uncertainty_vs_cutoff_only_paired_improvement_se,cutoff_x_uncertainty_vs_cutoff_only_win_rate,cutoff_only_reduction_vs_uniform_pct,cutoff_x_uncertainty_reduction_vs_uniform_pct,best_cutoff_aware_mean,best_cutoff_aware_improvement_vs_uniform_%,best_cutoff_aware_policy,best_cutoff_aware_beats_uniform,cutoff_only_beats_uniform,cutoff_x_uncertainty_beats_uniform
h15_f50,1000,200,10,0.15,0.5,20,7834,20151,17794,40,27,0.7944409236675789,0.20307194291816344,0.7572479592937121,0.23653592125780562,0.35428063031156115,0.03072451177611518,0.39584828385005866,0.0771346003521722,0.4401602933560177,0.047747705048814065,1.0,0.39859263981752024,0.048282271625114455,1.0,-0.04156765353849749,0.020267478094078684,0.05,55.40503771180294,50.172722469708134,0.35428063031156115,55.40503771180294,cutoff_only,True,True,True
h15_f50,2000,200,10,0.15,0.5,20,7834,20151,17794,40,27,0.7229123015105202,0.238838460342252,0.6667589385494292,0.12989626440939794,0.28883848380629545,0.03852936575253528,0.31435995619893475,0.08861569232817786,0.43407381770422476,0.05285235384288074,1.0,0.40855234531158546,0.05042220762765601,1.0,-0.02552147239263931,0.018175065406112106,0.2,60.04515579514009,56.514786711737806,0.28883848380629545,60.04515579514009,cutoff_only,True,True,True
h20_f50,1000,200,10,0.2,0.5,20,10321,19224,16781,35,25,0.6496746244089824,0.12531225820125114,0.6787092285832944,0.12573727025968093,0.4665242937395558,0.011335417476383738,0.4752327464589996,0.043640367737524444,0.1831503306694266,0.028943379834820513,1.0,0.17444187794998278,0.027581023498048807,0.95,-0.008708452719443826,0.009461473769346185,0.4,28.19108578175435,26.85065283389741,0.4665242937395558,28.19108578175435,cutoff_only,True,True,True
h20_f50,2000,200,10,0.2,0.5,20,10321,19224,16781,35,25,0.6284141620330331,0.10751890693597362,0.6901134740576612,0.1256600212418962,0.41637956607767707,0.042441166933056024,0.4067046410455468,0.07578173904532158,0.21203459595535606,0.026273144147820664,1.0,0.22170952098748628,0.03522235816007555,0.9,0.009674925032130233,0.014879640653156572,0.5,33.741218573016546,35.280796389154574,0.4067046410455468,35.280796389154574,cutoff_x_uncertainty,True,True,True
h25_f50,1000,200,10,0.25,0.5,20,12860,18092,15804,39,24,0.9439080047108824,0.16039092383061263,0.82001551544341,0.11800237225925568,0.5757836937963375,0.09613593929949701,0.530861922654093,0.09832952262608367,0.36812431091454484,0.041642856080401545,0.95,0.4130460820567894,0.04294220673574809,1.0,0.044921771142244535,0.031783781613415024,0.4,39.00002003132719,43.759146017975,0.530861922654093,43.759146017975,cutoff_x_uncertainty,True,True,True
h25_f50,2000,200,10,0.25,0.5,20,12860,18092,15804,39,24,0.8307628983385136,0.14864543075753214,0.7746388712014284,0.14295442939140457,0.40418512975874954,3.908834885778708e-15,0.40418512975875237,4.171917119950447e-15,0.4265777685797641,0.03323812877185807,1.0,0.42657776857976126,0.03323812877185785,1.0,-2.842170943040401e-15,1.3040774653664002e-15,0.05,51.34771538701347,51.34771538701314,0.40418512975874954,51.34771538701347,Tie,True,True,True
h30_f50,1000,200,10,0.3,0.5,20,15387,16619,15012,35,20,0.8906641947515588,0.1510043999700918,0.9076337234457516,0.03761288166798663,0.6679486855645657,0.09755996564646305,0.7407882222356253,0.0980821763701761,0.22271550918699318,0.03197741194523334,0.95,0.1498759725159335,0.040575446430143394,0.75,-0.07283953667105969,0.02980852097674156,0.05,25.005553215161772,16.827438825891022,0.6679486855645657,25.005553215161772,cutoff_only,True,True,True
h30_f50,2000,200,10,0.3,0.5,20,15387,16619,15012,35,20,0.8716495548669002,0.19435998060227497,0.922566260194694,0.08916213487607537,0.6068074040904037,0.0,0.606807404090404,1.5889851742998998e-15,0.26484215077649653,0.043460212873222735,0.9,0.26484215077649614,0.043460212873222645,0.9,-3.552713678800501e-16,3.5527136788005e-16,0.0,30.384017211703572,30.384017211703533,0.6068074040904037,30.384017211703572,Tie,True,True,True
h20_f40,1000,200,10,0.2,0.4,20,10321,15415,20590,30,35,0.445586581692125,0.0901468292218224,0.43456705090065134,0.07385175547021959,0.33100470090378026,0.08228552591139932,0.3619510258325455,0.10165855006716625,0.11458188078834475,0.027214139601916792,0.9,0.08363555585957946,0.03246783389113992,0.75,-0.030946324928765277,0.023702842343970538,0.25,25.71484095261969,18.76976536007247,0.33100470090378026,25.71484095261969,cutoff_only,True,True,True
h20_f40,2000,200,10,0.2,0.4,20,10321,15415,20590,30,35,0.4228520475193303,0.10781998285640881,0.4872450926048927,0.10911867529982437,0.4818275696989289,0.0,0.4805702253981082,0.0025800160675213133,-0.05897552217959863,0.024109281099979205,0.15,-0.057718177878777865,0.02399927209495006,0.15,0.0012573443008207618,0.0005769091310019344,0.2,-13.9470820883048,-13.649733569314058,0.4805702253981082,-13.649733569314058,cutoff_x_uncertainty,False,False,False
h20_f60,1000,200,10,0.2,0.6,20,10321,22536,13469,42,18,1.0738773743865946,0.15651790240840205,1.0426151969092678,0.10353786087635712,0.8919730954237185,0.05110787078141023,0.9104766931868294,0.062632185451899,0.18190427896287603,0.036189521539378884,1.0,0.16340068119976509,0.03461067133602694,0.95,-0.018503597763110946,0.015042594878798032,0.25,16.939017740901836,15.215953431657002,0.8919730954237185,16.939017740901836,cutoff_only,True,True,True
