catalog_rank,item_id,history_count,feedback_count,evaluation_count
1,50,132,243,208
2,100,123,217,168
3,181,123,213,171
4,7,109,160,123
5,1,107,196,149
6,117,104,150,124
7,121,104,186,139
8,294,101,195,189
9,237,98,162,124
10,56,95,157,142
11,258,93,188,228
12,151,92,136,98
13,98,91,162,137
14,174,91,180,149
15,222,90,164,111
16,288,89,188,201
17,286,85,201,195
18,127,84,180,149
19,118,83,120,90
20,405,80,160,104
21,15,76,129,88
22,204,75,152,123
23,257,74,135,94
24,475,74,111,65
25,168,73,130,113
26,9,72,133,94
27,25,72,130,91
28,79,72,145,119
29,234,72,111,97
30,173,71,139,114
31,111,70,118,84
32,300,70,147,214
33,69,69,140,112
34,276,68,128,102
35,64,67,123,93
36,172,67,164,136
37,195,67,126,108
38,742,66,115,86
39,96,65,119,111
40,22,64,117,116
41,125,64,103,77
42,135,64,103,92
43,202,64,113,103
44,273,64,93,66
45,176,62,119,103
46,191,61,118,97
47,546,61,117,76
48,28,60,119,97
49,183,60,117,114
50,11,59,83,94
51,12,59,116,92
52,71,59,87,74
53,318,59,129,110
54,748,59,124,133
55,144,58,105,80
56,216,58,114,118
57,4,57,74,78
58,235,57,85,75
59,238,57,107,92
60,275,57,119,92
61,89,56,119,100
62,95,56,88,75
63,153,56,99,92
64,228,56,107,81
65,357,56,108,100
66,423,56,142,102
67,200,55,78,73
68,161,54,82,84
69,185,54,98,87
70,210,54,144,133
71,70,53,100,98
72,97,53,109,94
73,132,53,103,90
74,175,52,86,70
75,508,52,82,81
76,88,51,84,78
77,180,51,94,76
78,471,51,103,67
79,24,50,79,45
80,147,50,71,64
81,194,50,106,85
82,289,50,109,100
83,186,49,111,91
84,282,49,111,72
85,328,49,103,143
86,13,48,78,58
87,250,48,79,70
88,410,48,62,52
89,82,47,107,107
90,196,47,104,100
91,367,47,60,63
92,143,46,96,80
93,732,46,69,65
94,124,45,81,61
95,179,45,97,79
96,218,45,66,60
97,432,45,71,58
98,455,45,66,34
99,496,45,101,85
100,515,45,80,76
101,597,45,90,71
102,655,45,90,92
103,678,45,74,100
104,8,44,95,80
105,154,44,64,66
106,230,44,83,72
107,274,44,83,63
108,284,44,93,56
109,483,44,112,87
110,591,44,71,63
111,197,43,104,92
112,298,43,75,76
113,55,42,59,48
114,150,42,59,56
115,240,42,69,45
116,245,42,94,104
117,628,42,73,54
118,756,42,54,32
119,208,41,81,78
120,323,41,93,106
121,333,41,74,136
122,403,41,78,82
123,474,41,84,69
124,1028,41,66,41
125,42,40,63,45
126,156,40,66,42
127,164,40,61,50
128,209,40,84,67
129,211,40,87,79
130,302,40,102,155
131,418,40,48,41
132,603,40,87,82
133,31,39,60,55
134,66,39,62,61
135,215,39,92,81
136,231,39,50,53
137,268,39,102,114
138,293,39,64,44
139,385,39,89,80
140,527,39,84,72
141,763,39,68,42
142,53,38,49,41
143,58,38,72,65
144,109,38,53,39
145,129,38,47,44
146,134,38,86,74
147,229,38,70,63
148,568,38,101,91
149,588,38,87,77
150,692,38,67,59
151,123,37,53,25
152,322,37,87,94
153,411,37,81,45
154,1047,37,65,32
155,23,36,80,66
156,133,36,70,65
157,157,36,48,43
158,227,36,68,57
159,239,36,59,55
160,358,36,46,61
161,393,36,81,75
162,596,36,47,44
163,685,36,71,50
164,99,35,66,71
165,137,35,78,58
166,182,35,100,91
167,476,35,72,53
168,480,35,77,67
169,1012,35,37,28
170,47,34,55,44
171,94,34,50,53
172,188,34,70,66
173,252,34,78,46
174,255,34,70,68
175,327,34,68,73
176,435,34,93,89
177,473,34,54,38
178,566,34,74,71
179,14,33,89,61
180,178,33,45,47
181,265,33,102,92
182,408,33,45,34
183,419,33,73,72
184,472,33,77,48
185,479,33,79,67
186,73,32,45,51
187,77,32,61,58
188,159,32,35,34
189,233,32,46,46
190,269,32,120,163
191,326,32,51,92
192,427,32,102,85
193,433,32,71,68
194,582,32,69,67
195,684,32,74,63
196,735,32,53,52
197,1016,32,55,50
198,68,31,52,51
199,246,31,47,46
200,321,31,68,70
