prior,worlds,budget,even_mean,even_se,even_win_rate,uncertainty_mean,uncertainty_se,uncertainty_win_rate,cutoff_mean,cutoff_se,cutoff_win_rate,combined_mean,combined_se,combined_win_rate,local_marginal_mean,local_marginal_se,local_marginal_win_rate,benchmark_mean,benchmark_se,cutoff_pct_gap_reduction,combined_pct_gap_reduction,local_marginal_pct_gap_reduction,pct_gap_reduction,cutoff_improvement_vs_even_mean,cutoff_improvement_vs_even_se,combined_improvement_vs_even_mean,combined_improvement_vs_even_se,local_marginal_improvement_vs_even_mean,local_marginal_improvement_vs_even_se,best_policy_by_mean
AR(1) $\\rho=0.6$,100,0,0.6676538456197687,0.05945632890320157,1.0,0.6676538456197687,0.05945632890320157,1.0,0.6676538456197687,0.05945632890320157,1.0,0.6676538456197687,0.05945632890320157,1.0,0.6676538456197687,0.05945632890320157,1.0,0.6676538456197687,0.05945632890320157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,even
AR(1) $\\rho=0.6$,100,120,0.5195035306598352,0.04772003859703601,0.27,0.5124914014930817,0.05015008402367943,0.28,0.20497100507748356,0.027451172949161235,0.61,0.1775521093480983,0.02128942026647048,0.59,0.18925400581389568,0.0256214246142762,0.62,0.0674087867942775,0.01193965854085571,60.544829249351885,65.82273288449366,63.57021759341671,65.82273288449366,0.3145325255823516,0.04237810537469066,0.34195142131173684,0.047181654264665154,0.33024952484593956,0.04898694172440263,cutoff_x_uncertainty
AR(1) $\\rho=0.6$,100,300,0.43230429257777336,0.03954585367526108,0.28,0.37363265755116265,0.038732345182317274,0.31,0.10339108906357249,0.015972470351491155,0.72,0.13796654576354894,0.01860141724312359,0.62,0.11041877484357057,0.017331499622428814,0.69,0.04277502316739071,0.009117103110094723,76.08372370140832,68.08577936136774,74.4580896513523,68.08577936136774,0.32891320351420106,0.038067301570297786,0.29433774681422464,0.03801212964028049,0.3218855177342029,0.03882011318308916,cutoff_only
AR(1) $\\rho=0.6$,100,600,0.2972306075841569,0.033230618782364885,0.33,0.2514810280092103,0.03269797027865333,0.37,0.07833649414556025,0.013289813829665023,0.66,0.11097908588751397,0.016127064228189995,0.58,0.0833993185372689,0.015079478474307711,0.64,0.020965757422479553,0.006998381450180511,73.64453991388477,62.66229551877771,71.94120779985437,62.66229551877771,0.2188941134385966,0.03130493186465266,0.18625152169664289,0.033050957244534315,0.21383128904688797,0.033037603002482,cutoff_only
AR(1) $\\rho=0.6$,100,900,0.24794449876350896,0.028707068075443896,0.41,0.20875365658379927,0.027747798108125322,0.36,0.053064293675142836,0.011809166854868153,0.71,0.1101820373042171,0.015487614566681499,0.53,0.07131575749778112,0.014368819519564691,0.65,0.013267407526574005,0.005840279512218641,78.59831779298483,55.56181409400439,71.23720919260946,55.56181409400439,0.19488020508836615,0.027739008442620082,0.13776246145929189,0.02942013265790805,0.17662874126572783,0.029821569341759564,cutoff_only
AR(1) $\\rho=0.6$,100,1200,0.19259926369049105,0.02360787461630911,0.43,0.2007513960470355,0.02385345190692284,0.38,0.041675809318173676,0.010278314663994405,0.77,0.08155962644902863,0.013059818587669188,0.59,0.06939312221417998,0.013074800115541917,0.66,0.009675923363537162,0.003883713180307137,78.3613869961896,57.65319924582071,63.97020378764509,57.65319924582071,0.15092345437231733,0.02329341015050583,0.11103963724146236,0.024730831035778472,0.12320614147631101,0.025082481473758696,cutoff_only
AR(1) $\\rho=0.6$,100,1800,0.13798626875078523,0.017430726677875787,0.48,0.12723639002177753,0.01934037248183885,0.51,0.022272570940252888,0.006314025132711678,0.83,0.06237659997679577,0.011477733898110454,0.65,0.06093964280076481,0.012229372662968405,0.7,0.004716568119693925,0.0021346159073142267,83.85884976679888,54.795067261762746,55.836444196612845,54.795067261762746,0.11571369781053235,0.017950795883262014,0.07560966877398947,0.020514656775373622,0.07704662595002043,0.020740482988090093,cutoff_only
AR(1) $\\rho=0.6$,100,2400,0.09869663140449929,0.017074240466705234,0.6,0.10916659533022416,0.015367620813279258,0.5,0.01596094879075558,0.0049956899488151525,0.82,0.03796819505591465,0.0074378621941699795,0.68,0.05382614789674571,0.011116179802354471,0.7,0.0005725405705256925,0.00042032753014620543,83.82827401135803,61.53040431511242,45.463034420958024,61.53040431511242,0.0827356826137437,0.017979859089325808,0.06072843634858463,0.017732248154175807,0.04487048350775357,0.019283603516631886,cutoff_only
AR(1) $\\rho=0.6$,100,3000,0.06876371664343706,0.011426235149880209,0.62,0.08809980056423886,0.011806810123436543,0.53,0.015781967774460278,0.004698778065689356,0.8,0.030052440809604963,0.006393497813826876,0.72,0.051531626590951,0.011074308666136385,0.69,0.00019556719372179287,0.00013862142744888622,77.04898957644323,56.296078402165264,25.059858445174253,56.296078402165264,0.05298174886897678,0.01128572197098224,0.0387112758338321,0.012809227427782007,0.01723209005248606,0.015299845978117168,cutoff_only
AR(1) $\\rho=0.6$,100,4200,0.05319108534598435,0.009048946338069764,0.63,0.06432390196830831,0.009747647699816762,0.57,0.009921226865711806,0.0029340945774147227,0.84,0.020123834285249397,0.004586015072196447,0.73,0.047992142506186414,0.011074981742928505,0.76,0.00034673089303193904,0.0003467308930324056,81.34795182091389,62.16690418262231,9.774086777852204,62.16690418262231,0.043269858480272545,0.009291502829794011,0.03306725106073495,0.00933219189722251,0.005198942839797933,0.014096381198759634,cutoff_only
AR(1) $\\rho=0.6$,100,6000,0.04526426607287446,0.007465806170829138,0.62,0.047689839170196306,0.008439143329782083,0.65,0.008184344704407973,0.0024325566282197802,0.86,0.017308514991711075,0.003892159516444894,0.76,0.042022252626663016,0.010166673959078856,0.78,0.0008839741469209273,0.0005536972065377384,81.91875089451055,61.761193777350215,7.1624124888977,61.761193777350215,0.03707992136846649,0.007828992508220303,0.027955751081163386,0.00809276325715282,0.0032420134462114447,0.012072781812566033,cutoff_only
Independent ($\\bSigma{=}I$),100,0,0.9386913546605115,0.07175442250877388,1.0,0.9386913546605115,0.07175442250877388,1.0,0.9386913546605115,0.07175442250877388,1.0,0.9386913546605115,0.07175442250877388,1.0,0.9386913546605115,0.07175442250877388,1.0,0.9386913546605115,0.07175442250877388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,even
Independent ($\\bSigma{=}I$),100,120,0.7530712145948395,0.060437148815268515,0.21,0.6561013120567728,0.05397210463337306,0.2,0.2776708408309309,0.03319124487799245,0.56,0.3217589090990984,0.031214790405596226,0.43,0.25245103305888955,0.032352454446487065,0.61,0.12234562116890385,0.01957980769754273,63.12820946418449,57.273773998624,66.4771368011044,57.273773998624,0.47540037376390853,0.05879802291801878,0.43131230549574107,0.05919891450877353,0.50062018153595,0.06222568510983576,local_marginal
